"RegionId","Month","BudgetValue"
"1","01","145869"
"1","02","340195"
"1","03","270646"
"1","04","368039"
"1","05","103544"
"1","06","127223"
"1","07","347358"
"1","08","215537"
"1","09","28838"
"1","10","261164"
"1","11","47583"
"1","12","108188"
"2","01","112367"
"2","02","43627"
"2","03","383253"
"2","04","56318"
"2","05","196534"
"2","06","236301"
"2","07","95824"
"2","08","226855"
"2","09","104645"
"2","10","230948"
"2","11","169756"
"2","12","286167"
"3","01","88638"
"3","02","101452"
"3","03","56993"
"3","04","380589"
"3","05","50766"
"3","06","258403"
"3","07","97302"
"3","08","119793"
"3","09","145435"
"3","10","118395"
"3","11","43402"
"3","12","85545"
"4","01","142372"
"4","02","33767"
"4","03","398359"
"4","04","28542"
"4","05","275956"
"4","06","334235"
"4","07","34470"
"4","08","277724"
"4","09","245665"
"4","10","348621"
"4","11","104404"
"4","12","24889"
"5","01","97892"
"5","02","45280"
"5","03","78668"
"5","04","26418"
"5","05","66814"
"5","06","169800"
"5","07","361990"
"5","08","160125"
"5","09","50269"
"5","10","33595"
"5","11","221398"
"5","12","104635"
"6","01","341230"
"6","02","261623"
"6","03","16862"
"6","04","258869"
"6","05","279339"
"6","06","288397"
"6","07","323677"
"6","08","369722"
"6","09","146675"
"6","10","255527"
"6","11","339544"
"6","12","239518"
"7","01","362873"
"7","02","108506"
"7","03","275025"
"7","04","347779"
"7","05","168552"
"7","06","220702"
"7","07","16399"
"7","08","221079"
"7","09","192660"
"7","10","77406"
"7","11","358831"
"7","12","272416"
"8","01","177986"
"8","02","211162"
"8","03","207380"
"8","04","93123"
"8","05","247393"
"8","06","221054"
"8","07","140068"
"8","08","98465"
"8","09","270172"
"8","10","267386"
"8","11","131811"
"8","12","254518"
"9","01","211005"
"9","02","72444"
"9","03","27513"
"9","04","284407"
"9","05","29811"
"9","06","174719"
"9","07","322750"
"9","08","225458"
"9","09","238225"
"9","10","139035"
"9","11","215457"
"9","12","29445"
"10","01","225211"
"10","02","168225"
"10","03","369901"
"10","04","225432"
"10","05","308878"
"10","06","108562"
"10","07","62951"
"10","08","317156"
"10","09","53190"
"10","10","166707"
"10","11","120564"
"10","12","300435"
"11","01","395961"
"11","02","234307"
"11","03","300783"
"11","04","286582"
"11","05","75177"
"11","06","216196"
"11","07","331020"
"11","08","186104"
"11","09","81869"
"11","10","200018"
"11","11","370065"
"11","12","217632"
"12","01","67709"
"12","02","319590"
"12","03","136198"
"12","04","236316"
"12","05","130045"
"12","06","305192"
"12","07","254443"
"12","08","174677"
"12","09","45609"
"12","10","235574"
"12","11","332767"
"12","12","319902"
"13","01","312215"
"13","02","53935"
"13","03","51546"
"13","04","247443"
"13","05","372650"
"13","06","134484"
"13","07","342169"
"13","08","302004"
"13","09","388435"
"13","10","313613"
"13","11","123167"
"13","12","394226"
"14","01","119054"
"14","02","29526"
"14","03","190444"
"14","04","26336"
"14","05","141302"
"14","06","198387"
"14","07","44343"
"14","08","86310"
"14","09","232136"
"14","10","181062"
"14","11","210145"
"14","12","215217"
"15","01","84390"
"15","02","377229"
"15","03","176548"
"15","04","25311"
"15","05","399418"
"15","06","174534"
"15","07","143956"
"15","08","377211"
"15","09","380436"
"15","10","98904"
"15","11","392191"
"15","12","336333"
"16","01","257794"
"16","02","173816"
"16","03","153728"
"16","04","157951"
"16","05","284739"
"16","06","287231"
"16","07","148685"
"16","08","388671"
"16","09","143101"
"16","10","67799"
"16","11","195839"
"16","12","95892"
"17","01","366105"
"17","02","113918"
"17","03","124278"
"17","04","92533"
"17","05","142840"
"17","06","301424"
"17","07","261838"
"17","08","33461"
"17","09","80707"
"17","10","144592"
"17","11","242166"
"17","12","55810"
"18","01","109536"
"18","02","365221"
"18","03","378784"
"18","04","382168"
"18","05","308796"
"18","06","38370"
"18","07","164955"
"18","08","227441"
"18","09","40983"
"18","10","205457"
"18","11","132748"
"18","12","147748"
"19","01","155178"
"19","02","376249"
"19","03","260846"
"19","04","214722"
"19","05","214137"
"19","06","168129"
"19","07","86706"
"19","08","285169"
"19","09","291577"
"19","10","378616"
"19","11","44139"
"19","12","303671"
"20","01","291897"
"20","02","16724"
"20","03","290692"
"20","04","59335"
"20","05","210937"
"20","06","292317"
"20","07","115338"
"20","08","177848"
"20","09","368977"
"20","10","274860"
"20","11","383929"
"20","12","192112"
