"CustomerId","CustomerName","Segment","RegionId","CreditLimit","OnboardedOn"
"1","Customer_0001","Mid-Market","5","244587","2025-04-01"
"2","Customer_0002","Mid-Market","4","81349","2022-11-17"
"3","Customer_0003","Enterprise","1","94404","2024-02-29"
"4","Customer_0004","Enterprise","17","59487","2021-12-09"
"5","Customer_0005","Public Sector","16","197107","2024-03-27"
"6","Customer_0006","Mid-Market","10","88047","2022-04-17"
"7","Customer_0007","SMB","8","83604","2021-05-08"
"8","Customer_0008","Public Sector","20","217829","2026-05-31"
"9","Customer_0009","SMB","14","60895","2022-03-29"
"10","Customer_0010","SMB","7","242975","2024-01-19"
"11","Customer_0011","Public Sector","8","114411","2023-06-26"
"12","Customer_0012","Enterprise","3","121850","2026-07-27"
"13","Customer_0013","SMB","7","174351","2026-07-30"
"14","Customer_0014","Public Sector","20","3912","2023-09-21"
"15","Customer_0015","Mid-Market","18","17853","2026-04-24"
"16","Customer_0016","SMB","15","216074","2024-11-05"
"17","Customer_0017","SMB","12","152805","2023-08-22"
"18","Customer_0018","Public Sector","17","153899","2022-08-30"
"19","Customer_0019","SMB","6","174211","2024-11-20"
"20","Customer_0020","Public Sector","20","19059","2025-02-20"
"21","Customer_0021","Mid-Market","19","113912","2025-10-03"
"22","Customer_0022","Mid-Market","10","22474","2025-02-11"
"23","Customer_0023","Mid-Market","14","125477","2021-06-11"
"24","Customer_0024","Public Sector","19","54225","2021-12-13"
"25","Customer_0025","SMB","4","201641","2026-05-03"
"26","Customer_0026","SMB","18","114518","2025-12-15"
"27","Customer_0027","Mid-Market","5","172015","2025-10-04"
"28","Customer_0028","Mid-Market","7","101309","2024-07-30"
"29","Customer_0029","SMB","15","61718","2022-09-13"
"30","Customer_0030","Enterprise","11","13084","2021-10-26"
"31","Customer_0031","Enterprise","3","189964","2024-09-01"
"32","Customer_0032","SMB","10","248526","2024-05-21"
"33","Customer_0033","Public Sector","19","1606","2024-07-06"
"34","Customer_0034","Enterprise","15","25051","2021-05-19"
"35","Customer_0035","Enterprise","6","158919","2023-10-03"
"36","Customer_0036","Enterprise","6","219236","2021-09-18"
"37","Customer_0037","Public Sector","10","77340","2024-12-23"
"38","Customer_0038","SMB","6","43721","2025-03-25"
"39","Customer_0039","Public Sector","12","92087","2021-07-06"
"40","Customer_0040","Public Sector","3","129615","2024-07-19"
"41","Customer_0041","SMB","4","16970","2024-07-25"
"42","Customer_0042","Public Sector","17","189149","2026-04-10"
"43","Customer_0043","SMB","15","198749","2026-04-15"
"44","Customer_0044","SMB","15","3007","2021-12-29"
"45","Customer_0045","Enterprise","16","20602","2023-11-13"
"46","Customer_0046","SMB","5","246831","2022-02-28"
"47","Customer_0047","Mid-Market","11","35056","2025-03-05"
"48","Customer_0048","SMB","13","48872","2024-12-20"
"49","Customer_0049","Mid-Market","18","70043","2026-04-18"
"50","Customer_0050","Enterprise","4","185912","2024-02-25"
"51","Customer_0051","Mid-Market","12","118828","2025-12-03"
"52","Customer_0052","Enterprise","1","69098","2025-10-14"
"53","Customer_0053","SMB","12","236648","2026-05-16"
"54","Customer_0054","Mid-Market","4","212480","2021-11-17"
"55","Customer_0055","Mid-Market","17","106266","2023-07-19"
"56","Customer_0056","SMB","5","19353","2026-06-06"
"57","Customer_0057","Mid-Market","7","59090","2025-03-09"
"58","Customer_0058","SMB","18","43435","2023-11-26"
"59","Customer_0059","Enterprise","3","17229","2024-05-20"
