"RateDate","EURUSD","EURGBP","EURDKK"
"2026-09-13","1.176","0.882","7.459"
"2026-09-12","1.191","0.882","7.462"
"2026-09-11","1.19","0.862","7.444"
"2026-09-10","1.087","0.902","7.469"
"2026-09-09","1.145","0.844","7.445"
"2026-09-08","1.088","0.857","7.442"
"2026-09-07","1.217","0.915","7.476"
"2026-09-06","1.201","0.852","7.47"
"2026-09-05","1.138","0.911","7.463"
"2026-09-04","1.205","0.876","7.47"
"2026-09-03","1.122","0.883","7.455"
"2026-09-02","1.182","0.86","7.46"
"2026-09-01","1.202","0.864","7.475"
"2026-08-31","1.226","0.857","7.47"
"2026-08-30","1.143","0.846","7.477"
"2026-08-29","1.055","0.872","7.467"
"2026-08-28","1.165","0.882","7.473"
"2026-08-27","1.238","0.912","7.468"
"2026-08-26","1.214","0.927","7.448"
"2026-08-25","1.208","0.881","7.473"
"2026-08-24","1.206","0.864","7.442"
"2026-08-23","1.174","0.884","7.457"
"2026-08-22","1.112","0.83","7.473"
"2026-08-21","1.127","0.883","7.457"
"2026-08-20","1.14","0.85","7.44"
"2026-08-19","1.208","0.884","7.469"
"2026-08-18","1.146","0.833","7.462"
"2026-08-17","1.164","0.897","7.47"
"2026-08-16","1.213","0.924","7.475"
"2026-08-15","1.214","0.889","7.457"
"2026-08-14","1.101","0.928","7.45"
"2026-08-13","1.205","0.834","7.451"
"2026-08-12","1.078","0.906","7.471"
"2026-08-11","1.157","0.878","7.443"
"2026-08-10","1.244","0.84","7.456"
"2026-08-09","1.128","0.914","7.459"
"2026-08-08","1.216","0.901","7.46"
"2026-08-07","1.109","0.856","7.476"
"2026-08-06","1.164","0.847","7.442"
"2026-08-05","1.178","0.902","7.46"
"2026-08-04","1.142","0.885","7.448"
"2026-08-03","1.117","0.871","7.466"
"2026-08-02","1.243","0.857","7.475"
"2026-08-01","1.109","0.843","7.462"
"2026-07-31","1.228","0.92","7.449"
"2026-07-30","1.231","0.887","7.467"
"2026-07-29","1.189","0.92","7.445"
"2026-07-28","1.122","0.897","7.448"
