"InventoryId","ProductId","WarehouseId","QtyOnHand","ReorderPoint","LastCounted"
"1","200","6","722","85","2026-05-07"
"2","88","1","4070","389","2026-06-18"
"3","188","6","463","213","2026-04-14"
"4","10","6","575","379","2026-05-15"
"5","38","6","3483","139","2026-07-05"
"6","170","1","514","106","2026-04-22"
"7","15","4","3923","351","2026-09-07"
"8","169","6","1058","10","2026-05-17"
"9","25","5","601","258","2026-04-23"
"10","102","1","1606","78","2026-09-08"
"11","34","8","1678","27","2026-08-06"
"12","187","8","3569","145","2026-08-09"
"13","174","2","3665","458","2026-04-11"
"14","144","1","2040","133","2026-05-16"
"15","188","6","1748","85","2026-05-27"
"16","95","7","4372","308","2026-03-28"
"17","55","8","1696","450","2026-08-16"
"18","168","5","125","249","2026-08-10"
"19","23","3","308","389","2026-07-30"
"20","166","3","2403","91","2026-03-19"
"21","167","6","1503","398","2026-04-03"
"22","108","6","1961","282","2026-05-11"
"23","77","5","4600","379","2026-04-08"
"24","31","1","2407","82","2026-04-12"
"25","168","2","1941","213","2026-03-22"
"26","63","6","436","246","2026-04-01"
"27","154","1","1599","100","2026-05-01"
"28","89","8","1719","392","2026-03-31"
"29","81","4","3648","29","2026-05-20"
"30","75","3","4477","258","2026-04-30"
"31","122","7","2049","49","2026-05-25"
"32","160","5","2785","37","2026-08-07"
"33","165","7","493","496","2026-06-02"
"34","58","7","2654","96","2026-07-20"
"35","111","8","2293","157","2026-08-28"
"36","178","5","1257","438","2026-07-22"
"37","169","3","2476","436","2026-06-10"
"38","34","8","2025","281","2026-06-22"
"39","53","4","3895","388","2026-07-15"
"40","69","5","3301","472","2026-04-09"
"41","80","4","4937","245","2026-07-21"
"42","168","2","1567","482","2026-05-13"
"43","111","3","2385","404","2026-04-09"
"44","15","6","1687","436","2026-05-12"
"45","53","2","4253","274","2026-07-28"
"46","189","4","3200","237","2026-08-09"
"47","164","8","699","390","2026-04-02"
"48","68","3","4583","124","2026-08-28"
"49","80","6","2724","141","2026-04-28"
"50","49","2","1142","69","2026-06-25"
"51","169","2","4724","120","2026-09-03"
"52","87","5","105","408","2026-08-26"
"53","189","3","3686","371","2026-05-02"
"54","200","6","3607","383","2026-05-14"
"55","5","8","3384","15","2026-04-21"
"56","59","2","1539","75","2026-08-31"
"57","28","1","335","145","2026-07-22"
