"RegionId","RegionName","Country","Manager"
"1","North","DK","Manager_01"
"2","South","FR","Manager_02"
"3","East","DE","Manager_03"
"4","West","SE","Manager_04"
"5","Central","DE","Manager_05"
"6","Nordic","DE","Manager_06"
"7","Alpine","IT","Manager_07"
"8","Benelux","SE","Manager_08"
"9","Iberia","DK","Manager_09"
"10","Baltic","ES","Manager_10"
"11","Adriatic","DE","Manager_11"
"12","Aegean","IT","Manager_12"
"13","Rhine","IT","Manager_13"
"14","Danube","SE","Manager_14"
"15","Thames","IT","Manager_15"
"16","Seine","PL","Manager_16"
"17","Elbe","SE","Manager_17"
"18","Po","NL","Manager_18"
"19","Ebro","ES","Manager_19"
"20","Oder","ES","Manager_20"
